Questions,Answers
What's the difference between antidepressants?,"There are many different types of antidepressant medications, and they each work in different ways. Antidepressants are divided into â€œclassesâ€ based on what they do and which chemical messengers in the brain (called neurotransmitters) they are thought to influence. Each class may contain several different medications, which each have slightly different ways of working. Below, youâ€™ll find common classes and examples of common medications. The first name is the generic name and name in brackets is the brand name. 
 SSRIs or selective serotonin reuptake inhibitors: fluoxetine (Prozac), paroxetine (Paxil), citalopram (Celexa), escitalopram (Cipralex), and sertraline (Zoloft) 
 SNRIs or serotonin and norepinephrine reuptake inhibitors: venlafaxine (Effexor) and duloxetine (Cymbalta) 
 NDRIs or norepinephrine-dopamine reuptake inhibitors: bupropion (Wellbutrin and Zyban) 
 NaSSAs or noradrenergic and specific serotonergic antidepressants: mirtazapine (Remeron), which can also be classed as a TeCa or tetracyclic antidepressant 
 SARIs or serotonin antagonist and reuptake inhibitors: trazodone (Desyrel) 
 There are other classes of antidepressants (such as MAOIs or triclycics) that are much older and have more side effects or restrictions. They are usually prescribed when newer antidepressants donâ€™t work. Other medications such as lithium, thyroid medication, or antipsychotics may also be prescribed, often in combination with an antidepressant to boost its effect. Antidepressants are not only used to treat depressionâ€”they may be prescribed to treat other illnesses like anxiety disorders. 
 Only medical doctors like family doctors or psychiatrists can prescribe antidepressants. If your doctor recommends that you consider antidepressants, keep in mind that most people have to try a few different options before they find the right medication. It can be a frustrating process, especially when you feel unwell, but itâ€™s important to find something that works for you! Side effects and benefits can vary significantly between different people, and itâ€™s difficult to predict how a medication might work without trying it out first. Everyone responds to them differently. Itâ€™s very important to have ongoing discussions with your health care team regarding your medication so you can bring up any problems or concernsâ€”or even ask more about how your particular antidepressant works."
I received a diagnosis but I donâ€™t think itâ€™s right. What can I do?,"If possible, bring up your concerns with the professional who provided the diagnosis. That way, the professional can answer your questions and you can better understand their decision. 
 If that doesnâ€™t resolve the situation or a follow-up appointment isnâ€™t possible, you can ask for a second opinion. A second opinion is an assessment from a different professional. This can give you better understanding of whatâ€™s going on and what to do about it. Second opinions are common when it comes to major health decisionsâ€”you wonâ€™t hurt anyoneâ€™s feelings and your doctor will try to accommodate reasonable requests for a second opinion. Talk to your family doctor (or go to a walk-in clinic) to discuss your options and get a referral to a different program or health professional, if needed. 
 For more how to get a second opinion, see HealthLinkBCâ€™s factsheet at www.healthlinkbc.ca. 
 For general tips on managing a diagnosis of a mental illness and working well with health care professionals, see HeretoHelpâ€™s Managing a Mental Illness series."
Iâ€™m worried about my child or teenager. Where can I find help?,"It can be hard to figure out what to do if youâ€™re concerned about a young person in your family. Many people start by talking with their family doctor. If you donâ€™t have a family doctor, you can find a doctor through the College of Physicians and Surgeons of BC. You can also visit a walk-in clinic. Depending on the situation, your family doctor may offer everything you need. If your child needs more specialized services, such as psychiatry services, your family doctor needs to make a referral for your child. Many family doctors can also recommend community services or supports in your community. Learn more about the role of family doctors in the info sheet What to Expect from Your Family or Walk-In Clinic Doctor. 
 If your childâ€™s difficulties affect their performance or behaviour at school, the school may be involved. If your childâ€™s school has a counsellor, talk to them about services you can access through the school. School counsellors can also suggest community services. See the info sheet What to Expect from Your Child's School. 
 Kelty Mental Health Resource Centre offers information, resources, peer support, and system navigation to children, youth, and families experiencing mental health or substance use challenges. Their Help Finder tool and help you navigate the mental health system. Kelty Mental Health is based at BC Childrenâ€™s Hospital in Vancouver, but they support young people and their families across the province. 
 Institute of Families for Child and Youth Mental Health advocates for healthy young people and family support. They offer resources and education events across BC. 
 The Canadian Mental Health Associationâ€™s BC Division offers Confident Parents: Thriving Kids, a phone-based education and support program to help parents or caregivers manage mild to moderate behaviour problems for children ages 3 to 12. This program is free, but it requires a doctorâ€™s referral. 
 You may also want to check out these resources from HeretoHelp on child and youth mental health and substance use:"
Someone I care about has a brain injury. Where can I find more information?,"A brain injury itself isnâ€™t the same as a mental illness, though someone who experiences a brain injury may also experience mental health problems. These mental health problems may stem from the injury itself or from thoughts around the injury (like feelings of loss, anger, or frustration when quality of life changes). In some cases, mental health challenges may not be related to a brain injury at all. The good news is that mental health problems are treatable, even if you or someone you care about has experienced a brain injury. It may be helpful to find a service provider who is familiar with both brain injuries and mental health. 
 For more information and support, visit the BC Brain Injury Association. You can also find local and regional groups and organizations in BC through the Brain Injury Association of Canada."
Iâ€™m a young person and one of my parents has a mental illness. What can I do?,"Someone elseâ€™s illness is not your fault. You also canâ€™t control how someone else feels, their illness, or the things they do or say. What you can do is take care of yourself. 
 Learning more about your parentâ€™s illness can make it a bit easier to understand what they experience. On this website, you can find easy-to-read booklets on mental illnesses as well as longer info sheets on many different mental illnesses. You can also find information for young people from the Centre for Addiction and Mental Health. 
 Itâ€™s important to take care of yourself, too! A lot of people have a big mix of feelings when a parent isnâ€™t well. You might feel angry, embarrassed, scared, or many other things. These feelings and experiences can have a big impact on the way your think about yourself and other people. When youâ€™re on an airplane and the flight attendants go through the safety demonstration, they tell you to put your own oxygen mask on before your help other people. Thatâ€™s because itâ€™s hard to help someone else if you arenâ€™t well yourself. Here are some programs specifically for young people: 
 Kids in Control Support Group Program from the BC Schizophrenia Society helps children and youth ages 8-18 understand mental illnesses, cope with challenges, and take care of their own health and well-being. If Kids in Control is not currently available at your local branch, your branch can order materials so you can work through them on your own. 
 Super Saturday Club from CMHA Vancouver-Fraser is a free recreation group for children and youth ages 8-17 who have a parent that experiences a mental illness. To learn more, visit www.vancouver-fraser.cmha.bc.ca. 
 If youâ€™re having trouble coping with something going on at home, ask for some help! Here are some places you can go: 
 A teacher or counsellor at school 
 An adult you trust, like a friendâ€™s parent or another family member 
 Kids Help Phone: visit www.kidshelpphone.ca to learn about taking care of yourself and chat with a counsellor, or call 1-800-668-6868 to talk with a counsellor 
 YouthinBC: Visit www.youthinbc.com to chat with a trained volunteer (noon-1.00am Pacific Time) 
 BC Mental Health Support Line: If you ever need to talk to someone or youâ€™d like to see what kind of resources are in your community, call 310-6789 (no area code) at any time"
"I have thoughts of suicide, or someone I care about is talking about suicide. What should I do?","If you need to talk to someone or you arenâ€™t sure how to help someone you care about, call 1-800-SUICIDE (1-800-784-2433) at any time. Or type your concern using live chat (like texting online) at www.crisiscentrechat.ca between noon and 1am. They can help you, and they can suggest good local resources. If youâ€™re at risk of harm or think someone else is in danger and you need help right now, call 911. 
 Itâ€™s scary to have thoughts of suicide or hear that someone you can care about has thoughts of suicide. Thoughts of suicide donâ€™t mean that someone will end their life, but itâ€™s a sign that they need extra help or support. If you have thoughts of suicide, itâ€™s important to talk with your doctor or mental health service provider. If youâ€™re supporting someone else, encourage them to seek help. 
 Coping With Suicidal Thoughts is a good resource to help you understand and manage difficult feelings. 
 Our info sheet on suicide has information on suicide, helping someone else, and finding help. What is Suicide? is a booklet with audio in plain language for lower literacy readers. 
 The Centre for Suicide Prevention has many resource toolkits on suicide for different audiences, including people serving in the military, young people, teens, older adults, Aboriginal community members, and LGBT community members."
Where can I find more information about depression?,"Our info sheets on mood disorders, bipolar disorder, and depression offer information on mood problems, treatment options, and resources in BC. We also offer What is Depression? Itâ€™s a booklet with audio in plain language for lower literacy readers. You can take a screening self-test for depression (and other mental health concerns). The adult depression tool also screens for signs of bipolar disorder. 
 If you want to go beyond the basics, our Managing Depression series can help you deal with a diagnosis of depression, work with doctor, and prevent relapse of depression. Youâ€™ll also find many experiences and perspectives around depressionâ€”reading personal stories can help you feel less alone."
What's the difference between anxiety and stress?,"Stress and anxiety are often used interchangeably, and there is overlap between stress and anxiety. Stress is related to the same â€˜fight, flight, or freezeâ€™ response as anxiety, and the physical sensations of anxiety and stress may be very similar. 
 The cause of stress and anxiety are usually different, however. Stress focuses on mainly external pressures on us that weâ€™re finding hard to cope with. When we are stressed, we usually know what weâ€™re stressed about, and the symptoms of stress typically disappear after the stressful situation is over. 
 Anxiety, on the other hand, isnâ€™t always as easy to figure out. Anxiety focuses on worries or fears about things that could threaten us, as well as anxiety about the anxiety itself. Stress and anxiety are both part of being human, but both can be problems if they last for a long time or have an impact on our well-being or daily life."
What's the difference between sadness and depression?,"Sadness is a normal reaction to a loss, disappointment, problems, or other difficult situations. Feeling sad from time to time is just another part of being human. In these cases, feelings of sadness go away quickly and you can go about your daily life. 
 Other ways to talk about sadness might be â€˜feeling low,â€™ â€˜feeling down,â€™ or â€˜feeling blue.â€™ A person may say they are feeling â€˜depressed,â€™ but if it goes away on its own and doesnâ€™t impact life in a big way, it probably isnâ€™t the illness of depression. 
 Depression is a mental illness that affects your mood, the way you understand yourself, and the way you understand and relate to things around you. It can also go by different names, such as clinical depression, major depressive disorder, or major depression. Depression can come up for no reason, and it lasts for a long time. Itâ€™s much more than sadness or low mood. People who experience depression may feel worthless or hopeless. They may feel unreasonable guilty. Some people may experience depression as anger or irritability. It may be hard to concentrate or make decisions. Most people lose interest in things that they used to enjoy and may isolate themselves from others. There are also physical signs of depression, such as problems with sleep, appetite and energy and unexplainable aches or pains. Some may experience difficult thoughts about death or ending their life (suicide). Depression lasts longer than two weeks, doesnâ€™t usually go away on its own, and impacts your life. Itâ€™s a real illness, and it is very treatable. Itâ€™s important to seek help if youâ€™re concerned about depression."
What is dysthymia or persistent depressive disorder?,"Dysthymia, now called persistent depressive disorder or PDD, is a mood disorder. It is related depression (major depressive disorder). The difference between the two is in the number of symptoms and the amount of time that they last. Someone diagnosed with PDD would experience two to four of the symptoms below for at least two years with no periods of wellness during that time, while someone diagnosed with major depressive disorder would experience five or more of the symptoms below for at least two weeks. 
 Symptoms of PDD include: 
 There is a myth that PDD is not as severe an illness as major depressive disorder, but research shows that the disability of the illness, like the ability to work productively and enjoy hobbies, may be as severe in PDD as it is in major depressive disorder. As PDD involves a smaller number of symptoms that last for a very long time, many people begin to assume PDD is just part of their personality rather than an illness that can be effectively treated. So you should most certainly talk to a doctor or mental health professional if you think you might have PDD."
What is cyclothymic disorder?,"Cyclothymic disorder is a subtype of bipolar disorder. Much like bipolar disorder, the symptoms of cyclothymia include three or more symptoms of hypomania, and five or more symptoms of depression. Like bipolar disorder, people may experience wellness between episodes of hypomania and depression. 
 Symptoms of hypomania include: 
 Symptoms of depression include: 
 Talk to a doctor or mental health professional if you think you might have cyclothymic disorder."
What does rapid cycling mean?,"Rapid cycling means that someone diagnosed with bipolar disorder (or depression) experiences four or more episodes of depression and/or mania in one year. 
 Rapid cycling can happen any time someone experiences bipolar disorderâ€”about 10-20% of people diagnosed with bipolar disorder experience rapid cycling at some point. In many cases, rapid cycling eventually goes away on its own and people return to a pattern of longer and less frequent episodes."
Where can I find information and help for borderline personality disorder?,"Borderline personality disorder or BPD is a treatable illness. Itâ€™s made up of five groups of symptoms around behaviours, emotions, relationships, sense of identity, and awareness. You can read our info sheet on borderline personality disorder. We also have an entire issue of Visions Journal on BPD, where youâ€™ll find information on treatments and support and personal stories from people who are managing BPD and living well. 
 The Borderline Personality Disorder Society of BC offers a support group in Victoria and a resource library, and they have a listing of services in BC. 
 In Vancouver, the DBT Centre of Vancouver offer dialectical behaviour therapy (DBT) ad specializes in helping people who experience BPD. The offer individual, group, and family counselling, and they have a useful blog on DBT skills. 
 There are several good, helpful books available now, including:"
What is schizoid personality disorder?,"A personality disorder is a pattern of thoughts, feelings, and behaviours that last for a long time and causes some sort of problem or distress. 
 Schizoid personality disorder or SPD affects social interactions and relationships. People with SPD may have a hard time relating to others and showing emotions. They may avoid close relationships and prefer to spend their time alone, seeming distant even to close family members. Many people donâ€™t respond to strong emotions like anger, even when others try to provoke them. On the outside, people with SPD may seem cold or aloof, showing little emotion. 
 While they have a similar name, schizoid personality disorder isnâ€™t the same as schizophrenia. 
 Schizoid personality disorder is believed to be relatively uncommon. While some people with SPD may see it as part of who they are, other people may feel a lot of distress, especially around social interactions. Some medications may help people manage symptoms and psychotherapy may help people build new skills and improve relationships. 
 To find help for schizoid personality disorder, talk to your family doctor, find a psychologist through the BC Psychological Association, or call 811 to talk to a HealthLink BC navigator."
What is antisocial personality disorder?,"A personality disorder is a pattern of thoughts, feelings, and behaviours that last for a long time and causes some sort of problem or distress. 
 Antisocial personality disorder or ASPD affects the way people think about the rights of others. Someone with ASPD may disregard laws or expectations, lack remorse when they hurt others or break the law, make reckless decisions, and believe they are superior to others. People may see someone with ASPD as overly dramatic, impulsive, manipulative, and deceitful. Some people may appear charming, at least on the surface. Like all mental illnesses, antisocial personality disorder is a spectrum. Some people may only occasionally act out, while others may break the law often and spend a lot of time in the criminal justice system. 
 ASPD is only diagnosed in adults, but people with ASPD start to have problems with conduct or antisocial behaviours at a young age. They may be diagnosed with conduct disorder during childhood. 
 Treatment for antisocial personality disorder, usually psychotherapy, can help reduce the harms of ASPD and help people build empathy towards others. ASPD is treatable and it may improve as a person approaches middle age. 
 All of us have hurt someone else or acted without thinking of others' needed. Itâ€™s important to remember that antisocial personality disorder is an enduring pattern around lack of empathy and lack of remorse. Only a doctor or mental health professional can diagnose illnesses like ASPD. 
 To find help for antisocial personality disorder, talk to your family doctor, find a psychologist through the BC Psychological Association, or call 811 to talk to a HealthLink BC navigator."
What is obsessive-compulsive personality disorder?,"A personality disorder is a pattern of thoughts, feelings, and behaviours that last for a long time and causes some sort of problem or distress. 
 Obsessive-compulsive personality disorder or OCPD is about control. People with OCPD have very inflexible thinking and expect everything to be ordered, perfect, and done their ""correct"" way. This happens at the expense of other important things in life, including relationships with others. Work can take priority over every other part of life, too, and people with OCPD may seem excessively dedicated, but may be unable to complete tasks due to perfectionism. They may struggle to delegate and may distrust other peopleâ€™s contributions. People with OCPD may not tolerate uncertainty and may have a very rigid understanding of the worldâ€”something is either right or wrong. They may also have a hard time spending money on themselves or others, and they may experience hoarding, the inability to throw away items from their homes. The conflict between the desire for neatness or order and the inability to throw things out may cause a lot of anxiety. 
 While obsessive-compulsive personality disorder and obsessive-compulsive disorder (OCD) have a similar name, they are not the same illness. People with obsessive-compulsive disorder usually understand that their obsessions and compulsions are illogical and usually experience a lot of distress, even though they may not be able to stop obsessions or compulsions. Compulsions are an attempt to reduce anxiety, not to find pleasure. People with obsessive-compulsive personality disorder may view their thoughts as part of who they are, see their thoughts as logical, and may find pleasure or benefit in completing compulsive tasks. They may experience a lot of distress when they canâ€™t achieve control or the perfectionism they want. 
 Obsessive-compulsive personality disorder is one of the most common personality disorders. Treatment may include some combination of psychotherapy, medication, and self-help strategies. To find help for OCPD, talk to your family doctor, find a psychologist through the BC Psychological Association, or call 811 to talk to a HealthLink BC navigator."
What is binge-eating disorder?,"Binge-eating disorder or BED is a type of eating disorder. It involves episodes of eating a lot of food in a short amount of time, past the point of feeling full, and feelings of being out of control or unable to stop eating. People who experience binge-eating disorder may binge even when they donâ€™t feel hungry. They may feel temporarily comforted by food, and then feel depressed, upset, guilty, or ashamed of their eating. As a result, many people try to keep binge-eating symptoms a secret. You canâ€™t tell if someone experiences binge-eating disorder just from the way they look or the way they eat around others. 
 While a lot of people have the experience of eating too much a few times and feeling uncomfortable after, people who experience binge-eating disorder experience many binges for a long period of time. 
 Binge-eating disorder is treatable. Talk to your doctor or a mental health professional if you think you might have binge-eating disorder."
Whatâ€™s the difference between dissociative identity disorder (multiple personality disorder) and schizophrenia?,"Sometimes, people confuse dissociative identity disorder, formerly known as multiple personality disorder, and schizophrenia. Schizophrenia does mean â€œsplit mind,â€ but the name was meant to describe the â€˜splitâ€™ from reality that you experience during an episode of psychosis, as well as changes in thoughts, emotions, and other functions. Dissociative identity disorder, on the other hand, does cause a split or fragmented understanding of a personâ€™s sense of themselves. 
 Dissociative identity disorder is really more about fragmented identities than many different personalities that develop on their own. Most people see different parts of their being as part of the whole person. For people who experience DID, identity fragments may have very different characteristics, including their own history, identity, and mannerisms. A key part of DID is dissociationâ€”feeling detached to the world around you. People who experience DID may have many unexplainable gaps in their memory, forget information theyâ€™re already learned, or have difficulties recalling things theyâ€™ve said or done. Unlike portrayals of DID on TV or in movies, DID may not be obvious to others, and it can take a lot of time to come to the diagnosis. 
 Schizophrenia is a serious mental illness that causes hallucinations (sensations that arenâ€™t real) and delusions (beliefs that canâ€™t possibly be true, in addition to other symptoms like jumbled thoughts, jumbled speech, and difficulties expressing emotions. People who experience schizophrenia may hear or feel things that arenâ€™t real or believe things that canâ€™t be real, but these arenâ€™t separate identities."
What's the difference between psychosis and schizophrenia?,"Psychosis is a syndrome or group of symptoms. Someone experiencing an episode of psychosis is having a â€˜breakâ€™ with reality. Major symptoms of psychosis are hallucinations and delusions. Hallucinations are sensations that are not real, such as hearing voices or sounds that arenâ€™t real. Hearing voices is a common hallucination, but hallucinations can be experiences with any senseâ€”hearing, sight, smell, taste, or touch. Delusions are strong beliefs that canâ€™t possibly be true. Common delusions include the belief that someone is following or monitoring you, or the belief that you have extraordinary powers or abilities. Other symptoms of psychosis include difficulties concentrating, completing tasks, or making decisions. Thoughts may feel â€˜jumbledâ€™ or confused. Some people have a hard time following conversations or speaking clearly. Psychosis can even affect the way people move or express their emotions. 
 Schizophrenia is a mental illness that causes psychosis, but schizophrenia also has other symptoms. And it isnâ€™t the only cause of psychosis. In some cases, other mental illnesses cause psychosis, including depression, bipolar disorder, dementia and borderline personality disorder. Psychosis may come up during times of extreme stress, a major lack of sleep, or trauma. People who are using or withdrawing from certain drugs or medications may experience psychosis. Psychosis may also be caused by a brain injury, neurological problem, or other health problem. So while psychosis can be a part of schizophrenia, it can be caused by many other things too. 
 Psychosis and schizophrenia are treatable. Itâ€™s important to seek help as soon as possible."
What are positive and negative symptoms?,"Positive and negative symptoms are medical terms for two groups of symptoms in schizophrenia. 
 Positive symptoms add. Positive symptoms include hallucinations (sensations that arenâ€™t real), delusions (beliefs that canâ€™t be real), and repetitive movements that are hard to control. 
 Negative symptoms take away. Negative symptoms include the inability to show emotions, apathy, difficulties talking, and withdrawing from social situations and relationships. 
 There is also a third group of symptoms, usually called cognitive symptoms. This includes anything related to thinking, such as disorganized thoughts, memory problems, and difficulties with focus and attention."
What is a prodrome?,"Prodrome is a medical term for early signs or symptoms of an illness or health problem that appear before the major signs or symptoms start. 
 Psychosis, a group of symptoms found in disorders like schizophrenia, is one illness with a specific prodrome. With psychosis, prodrome signs and symptoms start before full symptoms like hallucinations and delusions appear. 
 Common symptoms in the prodrome of psychosis include: 
 These symptoms are found in many other mental illnesses, so it isnâ€™t always clear at the time if this is a prodrome of psychosis or schizophrenia or something else. Itâ€™s best to seek help whenever you are concerned about your mental health or a loved oneâ€™s mental health. Psychosis and schizophrenia are much easier to manage and treat when treatment starts early."
Iâ€™m an adult and I think I might have ADHD. What can I do next?,"While we think of attention-deficit/hyperactivity disorder as an illness that affects children, it can last into adulthoodâ€”and some people arenâ€™t diagnosed until much later in life. 
 ADHD is diagnosed like any other mental illness, so your family doctor is a good place to start. Your family doctor may be able to assess your mental health and start treatment, if needed, or they may refer you to more specialized mental health services. 
 There are a few organizations that can help you find good resources and find some support: 
 The Canadian Attention Deficit Hyperactivity Disorder Resource Alliance (CADDRA) is an organization that supports health professionals who research ADHD, treat and support people diagnosed with ADHD, and trains professionals. In the â€˜Public Infoâ€™ section of their website, youâ€™ll find more information on adult ADHD and the assessment process. Youâ€™ll also find extensive resources and recommended publications. 
 The Centre for ADHD Awareness, Canada provides education and advocacy for Canadians who experience ADHD. They have a section on their website for adults, including information on symptoms and assessments, treatments, ADHD in the workplace, resources, and a reading list. 
 CHADD Vancouver offers a monthly support group for adults in the Vancouver area."
Whatâ€™s the difference between substance use and addiction?,"People tend to use the word â€œaddictionâ€ to mean very different things. â€œI am addicted to shoppingâ€ might mean only that the speaker likes to shop. On the other hand, â€œHe is addictedâ€ might mean the speaker thinks the other person is completely unable to control his own behaviour. When people use the word about psychoactive (mind-altering) substances like alcohol, tobacco, or other drugs, they often assume these drugs are dangerous and have the power to control human behaviour. 
 The evidence, however, suggests a quite different picture. While substance use can clearly contribute to health and social problems, substances can be beneficial for some people in some situations. Many people celebrate a special occasion with a nice glass of wine, for example. Some people use tobacco as a powerful symbol in cultural and spiritual ceremonies. In fact, substances have been used by humans throughout history for many reasons: to feel good, to feel better, to improve performance, for cultural/spiritual reasons, and to have new experiences. 
 Substance use is more complicated than just â€œgoodâ€ or â€œbad.â€ Itâ€™s helpful to think of substance use along a continuum, from beneficial use to harmful use. Along the middle of the continuum, substance use may be both beneficial and harmful. You have an enjoyable night out with friends, but feel a little ill the next day. At the far end of the continuum, some people develop dependenceâ€”they need to continually use the drug in order to feel normal and will keep using even when that leads to financial difficulties, problems at home or at work, health problems, or legal problems. 
 In general, substance use is a problem when it causes problems for you or othersâ€”and how much use causes problems will be different for different people in different situations. The reason a person uses a substance influences the risk of developing problems. For instance, if a person uses a substance to have fun, only occasional social use may follow. But when a person uses a substance to cope with a long-term problem such as social anxiety, then more long lasting and intense use may follow. Managing our risk involves being aware of why we are using and what impacts our use is having on ourselves and those around us. The wisdom of our ancestors suggests a guiding principleâ€”not too much, not too often, and only in safe contexts."
How can I find help for an alcohol or drug use problem?,"Seeking to make changes in the way you use substances like alcohol or other drugs? This can be an important step! 
 Some people are able to reduce their substance use or quit altogether on their own or with self-help materials. But most of us need support from other peopleâ€”family members, friends, health professionals, or other people struggling with substance use problems. The right help for you depends on many factors. These include the type of drug you are using, how much and how often, your health and social situation and, of course, your own preferences. Getting help doesnâ€™t mean giving up control of shaping your own path. You are still the one who makes the final decisions about the type and degree of change you make. 
 One way to get help is to talk to a doctor you trust and feel comfortable confiding in. If you arenâ€™t comfortable talking in person, you can also get advice from a registered nurse (along with advice on programs or services in your area) by calling HealthLink BC at 8-1-1. Since some drugs are illegal, many people worry about what might happen if they talk about drug use. Itâ€™s important to know that in most cases, doctors have to protect your privacyâ€”itâ€™s the law. 
 In BC, the Alcohol and Drug Information Referral Service can help you find information on treatment options, support groups and other resources throughout the province. Itâ€™s free, confidential, and available 24/7. Call the Alcohol and Drug Information Referral Service at 1-800-663-1441 or 604-660-9382 in the Lower Mainland."
